,quote,author
0,“Be yourself; everyone else is already taken.”,Oscar Wilde
1,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe
2,"“So many books, so little time.”",Frank Zappa
3,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein
4,“A room without books is like a body without a soul.”,Marcus Tullius Cicero
5,"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch
6,"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey
7,“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss
8,"“You only live once, but if you do it right, once is enough.”",Mae West
9,“Be the change that you wish to see in the world.”,Mahatma Gandhi
10,“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost
11,"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,Harry Potter and the Goblet of Fire"
12,“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”,Albert Camus
13,"“If you tell the truth, you don't have to remember anything.”",Mark Twain
14,"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou
15,"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,The Four Loves"
16,"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde
17,“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard
18,“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde
19,“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,A Testament of Hope: The Essential Writings and Speeches"
20,“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi
21,“We accept the love we think we deserve.”,"Stephen Chbosky,The Perks of Being a Wallflower"
22,"“Without music, life would be a mistake.”","Friedrich Nietzsche,Twilight of the Idols"
23,“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,The Happy Prince and Other Stories"
24,“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson
25,"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Steve Jobs
26,"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous
27,"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe
28,“It is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,Autumn Leaves"
29,“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,"H. Jackson Brown Jr.,P.S. I Love You"
